latitude,longitude,datetime
52.36116267029398,4.8840708059395865,2019-11-05 17:23:35+01:00
52.365087742725606,4.8926833716614055,2019-11-05 17:34:30+01:00
52.3659209457692,4.921788782010253,2019-11-05 10:04:13+01:00
52.373654443687805,4.906497013116564,2019-11-05 15:07:39+01:00
52.37346647390653,4.88983715400218,2019-11-05 16:34:36+01:00
52.35909238550017,4.920415581597126,2019-11-05 10:36:17+01:00
52.36782504526556,4.896061644696601,2019-11-05 17:39:57+01:00
52.367904747011565,4.916607644046508,2019-11-05 10:58:00+01:00
52.36116607922307,4.920399499345422,2019-11-05 10:45:17+01:00
52.35980131201503,4.869899440488211,2019-11-05 17:05:38+01:00
52.363503906879245,4.88155823273496,2019-11-05 16:51:12+01:00
52.360421082592346,4.917255624129666,2019-11-05 10:25:25+01:00
52.3696896997998,4.911510845966745,2019-11-05 09:54:32+01:00
52.37560425694878,4.891739451014473,2019-11-05 16:31:22+01:00
52.36028483890438,4.916392279077172,2019-11-05 10:41:16+01:00
52.35978820779376,4.868526149472586,2019-11-05 17:04:32+01:00
52.35967049716603,4.922883057953072,2019-11-05 10:17:43+01:00
52.37658016132527,4.890517506839501,2019-11-05 15:26:13+01:00
52.36334666914428,4.877292513493558,2019-11-05 16:55:01+01:00
52.37219530584654,4.908499130432006,2019-11-05 15:05:06+01:00
52.36590665085695,4.893015965579252,2019-11-05 17:35:37+01:00
52.36549511557311,4.922196477780517,2019-11-05 10:04:52+01:00
52.3664384877125,4.920758813748535,2019-11-05 10:03:07+01:00
52.36103818387041,4.885272435578258,2019-11-05 17:24:34+01:00
52.3686634226229,4.888902089403473,2019-11-05 16:40:58+01:00
52.37179017245904,4.906361327313789,2019-11-05 17:52:44+01:00
52.36456363355535,4.889711484072905,2019-11-05 17:31:21+01:00
52.36027961343171,4.87416951723992,2019-11-05 17:10:37+01:00
52.37299486539665,4.889654763789167,2019-11-05 16:35:14+01:00
52.35836842594926,4.875032142575037,2019-11-05 17:15:20+01:00
52.37469787238541,4.89058817252635,2019-11-05 16:32:52+01:00
52.3640650756527,4.919493633452703,2019-11-05 10:49:35+01:00
52.37306493477253,4.9074518795258655,2019-11-05 15:06:34+01:00
52.359202798380416,4.874640139975554,2019-11-05 17:12:57+01:00
52.37169748238864,4.907876857940551,2019-11-05 15:04:17+01:00
52.3720849364076,4.90233801379145,2019-11-05 17:48:23+01:00
52.36979669571062,4.8889879200919495,2019-11-05 16:39:28+01:00
52.37231419589646,4.900557027005561,2019-11-05 17:46:55+01:00
52.36975509479027,4.911476656670402,2019-11-05 14:59:47+01:00
